date,epu,count
2008-03-01,1.0,61
2008-03-02,0.0,71
2008-03-03,0.0,74
2008-03-04,0.0,82
2008-03-05,1.0,76
2008-03-06,2.0,62
2008-03-07,0.0,61
2008-03-08,1.0,74
2008-03-09,0.0,66
2008-03-10,1.0,85
2008-03-11,0.0,81
2008-03-12,0.0,85
2008-03-13,1.0,88
2008-03-14,0.0,72
2008-03-15,0.0,61
2008-03-16,0.0,82
2008-03-17,4.0,102
2008-03-18,1.0,72
2008-03-19,1.0,103
2008-03-20,2.0,100
2008-03-21,3.0,103
2008-03-22,0.0,58
2008-03-23,0.0,53
2008-03-24,2.0,116
2008-03-25,0.0,117
2008-03-26,1.0,105
2008-03-27,1.0,115
2008-03-28,0.0,131
2008-03-29,0.0,82
2008-03-30,0.0,69
2008-03-31,0.0,113
2008-04-01,2.0,94
2008-04-02,0.0,88
2008-04-03,1.0,117
2008-04-04,0.0,71
2008-04-05,0.0,69
2008-04-06,0.0,70
2008-04-07,1.0,101
2008-04-08,0.0,109
2008-04-09,3.0,121
2008-04-10,0.0,127
2008-04-11,1.0,102
2008-04-12,0.0,59
2008-04-13,0.0,48
2008-04-14,1.0,116
2008-04-15,1.0,112
2008-04-16,1.0,113
2008-04-17,2.0,121
2008-04-18,2.0,122
2008-04-19,0.0,78
2008-04-20,0.0,47
2008-04-21,2.0,103
2008-04-22,0.0,108
2008-04-23,1.0,112
2008-04-24,2.0,104
2008-04-25,3.0,128
2008-04-26,0.0,61
2008-04-27,1.0,69
2008-04-28,0.0,118
2008-04-29,1.0,104
2008-04-30,0.0,91
2008-05-01,1.0,56
2008-05-02,0.0,29
2008-05-03,0.0,41
2008-05-04,0.0,105
2008-05-05,2.0,98
2008-05-06,1.0,99
2008-05-07,3.0,91
2008-05-08,1.0,104
2008-05-09,0.0,91
2008-05-10,0.0,55
2008-05-11,0.0,61
2008-05-12,1.0,119
2008-05-13,1.0,106
2008-05-14,0.0,108
2008-05-15,0.0,98
2008-05-16,1.0,96
2008-05-17,0.0,75
2008-05-18,0.0,68
2008-05-19,0.0,106
2008-05-20,0.0,91
2008-05-21,0.0,105
2008-05-22,2.0,99
2008-05-23,1.0,101
2008-05-24,0.0,81
2008-05-25,0.0,81
2008-05-26,0.0,109
2008-05-27,0.0,87
2008-05-28,1.0,97
2008-05-29,0.0,104
2008-05-30,0.0,100
2008-05-31,0.0,61
2008-06-01,0.0,53
2008-06-02,0.0,96
2008-06-03,0.0,119
2008-06-04,1.0,106
2008-06-05,0.0,113
2008-06-06,0.0,117
2008-06-07,1.0,60
2008-06-08,1.0,60
2008-06-09,0.0,62
2008-06-10,0.0,119
2008-06-11,0.0,82
2008-06-12,0.0,110
2008-06-13,0.0,116
2008-06-14,1.0,48
2008-06-15,1.0,73
2008-06-16,1.0,71
2008-06-17,0.0,98
2008-06-18,1.0,116
2008-06-19,0.0,111
2008-06-20,1.0,103
2008-06-21,0.0,42
2008-06-22,0.0,61
2008-06-23,3.0,103
2008-06-24,0.0,95
2008-06-25,1.0,113
2008-06-26,0.0,111
2008-06-27,0.0,120
2008-06-28,0.0,66
2008-06-29,0.0,59
2008-06-30,1.0,91
2008-07-01,1.0,146
2008-07-02,1.0,155
2008-07-03,0.0,134
2008-07-04,0.0,116
2008-07-05,0.0,64
2008-07-06,0.0,65
2008-07-07,0.0,121
2008-07-08,1.0,89
2008-07-09,2.0,122
2008-07-10,2.0,109
2008-07-11,1.0,120
2008-07-12,0.0,82
2008-07-13,0.0,71
2008-07-14,0.0,116
2008-07-15,1.0,126
2008-07-16,0.0,113
2008-07-17,0.0,122
2008-07-18,0.0,113
2008-07-19,0.0,64
2008-07-20,0.0,82
2008-07-21,1.0,94
2008-07-22,2.0,118
2008-07-23,1.0,106
2008-07-24,1.0,108
2008-07-25,1.0,117
2008-07-26,1.0,67
2008-07-27,0.0,58
2008-07-28,0.0,121
2008-07-29,0.0,102
2008-07-30,0.0,115
2008-07-31,0.0,121
2008-08-01,2.0,112
2008-08-02,1.0,77
2008-08-03,2.0,57
2008-08-04,0.0,127
2008-08-05,0.0,116
2008-08-06,2.0,123
2008-08-07,0.0,113
2008-08-08,0.0,74
2008-08-09,0.0,71
2008-08-10,0.0,134
2008-08-11,0.0,122
2008-08-12,1.0,130
2008-08-13,1.0,132
2008-08-14,1.0,142
2008-08-15,2.0,138
2008-08-16,1.0,113
2008-08-17,0.0,112
2008-08-18,0.0,107
2008-08-19,2.0,115
2008-08-20,0.0,107
2008-08-21,0.0,97
2008-08-22,0.0,121
2008-08-23,0.0,124
2008-08-24,2.0,111
2008-08-25,0.0,62
2008-08-26,2.0,106
2008-08-27,2.0,102
2008-08-28,2.0,128
2008-08-29,2.0,87
2008-08-30,0.0,67
2008-08-31,0.0,69
2008-09-01,1.0,109
2008-09-02,1.0,114
2008-09-03,1.0,101
2008-09-04,1.0,130
2008-09-05,0.0,109
2008-09-06,1.0,52
2008-09-07,0.0,33
2008-09-08,0.0,120
2008-09-09,2.0,112
2008-09-10,2.0,132
2008-09-11,0.0,123
2008-09-12,3.0,125
2008-09-13,0.0,66
2008-09-14,0.0,71
2008-09-15,0.0,72
2008-09-16,0.0,105
2008-09-17,1.0,100
2008-09-18,1.0,97
2008-09-19,0.0,115
2008-09-20,1.0,65
2008-09-21,0.0,76
2008-09-22,0.0,103
2008-09-23,0.0,119
2008-09-24,1.0,119
2008-09-25,1.0,110
2008-09-26,1.0,100
2008-09-27,0.0,66
2008-09-28,0.0,59
2008-09-29,0.0,68
2008-09-30,0.0,44
2008-10-01,0.0,29
2008-10-02,0.0,25
2008-10-03,0.0,30
2008-10-04,0.0,35
2008-10-05,0.0,35
2008-10-06,0.0,120
2008-10-07,0.0,107
2008-10-08,3.0,89
2008-10-09,1.0,87
2008-10-10,0.0,96
2008-10-11,0.0,56
2008-10-12,1.0,53
2008-10-13,4.0,84
2008-10-14,0.0,113
2008-10-15,0.0,103
2008-10-16,1.0,105
2008-10-17,0.0,119
2008-10-18,0.0,58
2008-10-19,0.0,70
2008-10-20,1.0,99
2008-10-21,1.0,105
2008-10-22,1.0,130
2008-10-23,2.0,122
2008-10-24,1.0,87
2008-10-25,1.0,67
2008-10-26,2.0,57
2008-10-27,3.0,109
2008-10-28,0.0,97
2008-10-29,2.0,121
2008-10-30,1.0,106
2008-10-31,0.0,132
2008-11-01,2.0,63
2008-11-02,0.0,80
2008-11-03,0.0,74
2008-11-04,1.0,121
2008-11-05,2.0,110
2008-11-06,2.0,104
2008-11-07,0.0,108
2008-11-08,0.0,55
2008-11-09,2.0,72
2008-11-10,1.0,108
2008-11-11,1.0,105
2008-11-12,1.0,99
2008-11-13,0.0,108
2008-11-14,0.0,104
2008-11-15,0.0,67
2008-11-16,1.0,62
2008-11-17,1.0,114
2008-11-18,1.0,98
2008-11-19,0.0,116
2008-11-20,0.0,107
2008-11-21,1.0,125
2008-11-22,0.0,61
2008-11-23,0.0,70
2008-11-24,2.0,98
